ship_type,fuel_type,engine_type,consumption,year
B,MeOH,ME-GI,0.0,2020
B,MeOH,ME-LGI,0.0,2020
B,NH3,ME-C,0.0,2020
B,NH3,ME-GI,0.0,2020
B,NH3,ME-LGI,0.0,2020
B,RefPO,ME-C,1900.0,2020
B,RefPO,ME-GI,1800.0,2020
B,RefPO,ME-LGI,1700.0,2020
B,H2,ME-C,0.0,2020
B,H2,ME-GI,0.0,2020
B,H2,ME-LGI,0.0,2020
G,Oil,ME-C,1700.0,2020
G,Oil,ME-GI,1600.0,2020
G,Oil,ME-LGI,1500.0,2020
G,LNG,ME-C,0.0,2020
G,LNG,ME-GI,0.0,2020
G,LNG,ME-LGI,0.0,2020
G,LPG,ME-C,0.0,2020
G,LPG,ME-GI,0.0,2020
G,LPG,ME-LGI,0.0,2020
G,MeOH,ME-C,0.0,2020
G,MeOH,ME-GI,0.0,2020
G,MeOH,ME-LGI,0.0,2020
G,NH3,ME-C,0.0,2020
G,NH3,ME-GI,0.0,2020
G,NH3,ME-LGI,0.0,2020
G,RefPO,ME-C,1600.0,2020
G,RefPO,ME-GI,1500.0,2020
G,RefPO,ME-LGI,1400.0,2020
G,H2,ME-C,0.0,2020
G,H2,ME-GI,0.0,2020
G,H2,ME-LGI,0.0,2020
O,Oil,ME-C,1000.0,2020
O,Oil,ME-GI,900.0,2020
O,Oil,ME-LGI,800.0,2020
O,LNG,ME-C,0.0,2020
O,LNG,ME-GI,0.0,2020
O,LNG,ME-LGI,0.0,2020
O,LPG,ME-C,0.0,2020
O,LPG,ME-GI,0.0,2020
O,LPG,ME-LGI,0.0,2020
O,MeOH,ME-C,0.0,2020
O,MeOH,ME-GI,0.0,2020
O,MeOH,ME-LGI,0.0,2020
O,NH3,ME-C,0.0,2020
O,NH3,ME-GI,0.0,2020
O,NH3,ME-LGI,0.0,2020
O,RefPO,ME-C,1200.0,2020
O,RefPO,ME-GI,1100.0,2020
O,RefPO,ME-LGI,1000.0,2020
O,H2,ME-C,0.0,2020
O,H2,ME-GI,0.0,2020
O,H2,ME-LGI,0.0,2020
C,Oil,ME-C,1500.0,2021
C,Oil,ME-GI,1400.0,2021
C,Oil,ME-LGI,1300.0,2021
C,LNG,ME-C,0.0,2021
C,LNG,ME-GI,0.0,2021
C,LNG,ME-LGI,0.0,2021
C,LPG,ME-C,0.0,2021
C,LPG,ME-GI,0.0,2021
C,LPG,ME-LGI,0.0,2021
C,MeOH,ME-C,0.0,2021
C,MeOH,ME-GI,0.0,2021
C,MeOH,ME-LGI,0.0,2021
C,NH3,ME-C,0.0,2021
C,NH3,ME-GI,0.0,2021
C,NH3,ME-LGI,0.0,2021
C,RefPO,ME-C,1500.0,2021
C,RefPO,ME-GI,1400.0,2021
C,RefPO,ME-LGI,1300.0,2021
C,H2,ME-C,0.0,2021
C,H2,ME-GI,0.0,2021
C,H2,ME-LGI,0.0,2021
T,Oil,ME-C,1800.0,2021
T,Oil,ME-GI,1700.0,2021
T,Oil,ME-LGI,1600.0,2021
T,LNG,ME-C,0.0,2021
T,LNG,ME-GI,0.0,2021
T,LNG,ME-LGI,0.0,2021
T,LPG,ME-C,0.0,2021
T,LPG,ME-GI,0.0,2021
T,LPG,ME-LGI,0.0,2021
T,MeOH,ME-C,0.0,2021
T,MeOH,ME-GI,0.0,2021
T,MeOH,ME-LGI,0.0,2021
T,NH3,ME-C,0.0,2021
T,NH3,ME-GI,0.0,2021
T,NH3,ME-LGI,0.0,2021
T,RefPO,ME-C,1700.0,2021
T,RefPO,ME-GI,1600.0,2021
T,RefPO,ME-LGI,1500.0,2021
T,H2,ME-C,0.0,2021
T,H2,ME-GI,0.0,2021
T,H2,ME-LGI,0.0,2021
B,Oil,ME-C,2000.0,2021
B,Oil,ME-GI,1900.0,2021
B,Oil,ME-LGI,1800.0,2021
B,LNG,ME-C,0.0,2021
B,LNG,ME-GI,0.0,2021
B,LNG,ME-LGI,0.0,2021
B,LPG,ME-C,0.0,2021
B,LPG,ME-GI,0.0,2021
B,LPG,ME-LGI,0.0,2021
B,MeOH,ME-C,0.0,2021
B,MeOH,ME-GI,0.0,2021
B,MeOH,ME-LGI,0.0,2021
B,NH3,ME-C,0.0,2021
B,NH3,ME-GI,0.0,2021
B,NH3,ME-LGI,0.0,2021
B,RefPO,ME-C,1900.0,2021
B,RefPO,ME-GI,1800.0,2021
B,RefPO,ME-LGI,1700.0,2021
B,H2,ME-C,0.0,2021
B,H2,ME-GI,0.0,2021
B,H2,ME-LGI,0.0,2021
G,Oil,ME-C,1700.0,2021
G,Oil,ME-GI,1600.0,2021
G,Oil,ME-LGI,1500.0,2021
G,LNG,ME-C,0.0,2021
G,LNG,ME-GI,0.0,2021
G,LNG,ME-LGI,0.0,2021
G,LPG,ME-C,0.0,2021
G,LPG,ME-GI,0.0,2021
G,LPG,ME-LGI,0.0,2021
G,MeOH,ME-C,0.0,2021
G,MeOH,ME-GI,0.0,2021
G,MeOH,ME-LGI,0.0,2021
G,NH3,ME-C,0.0,2021
G,NH3,ME-GI,0.0,2021
G,NH3,ME-LGI,0.0,2021
G,RefPO,ME-C,1600.0,2021
G,RefPO,ME-GI,1500.0,2021
G,RefPO,ME-LGI,1400.0,2021
G,H2,ME-C,0.0,2021
G,H2,ME-GI,0.0,2021
G,H2,ME-LGI,0.0,2021
O,Oil,ME-C,1000.0,2021
O,Oil,ME-GI,900.0,2021
O,Oil,ME-LGI,800.0,2021
O,LNG,ME-C,0.0,2021
O,LNG,ME-GI,0.0,2021
O,LNG,ME-LGI,0.0,2021
O,LPG,ME-C,0.0,2021
O,LPG,ME-GI,0.0,2021
O,LPG,ME-LGI,0.0,2021
O,MeOH,ME-C,0.0,2021
O,MeOH,ME-GI,0.0,2021
O,MeOH,ME-LGI,0.0,2021
O,NH3,ME-C,0.0,2021
O,NH3,ME-GI,0.0,2021
O,NH3,ME-LGI,0.0,2021
O,RefPO,ME-C,1200.0,2021
O,RefPO,ME-GI,1100.0,2021
O,RefPO,ME-LGI,1000.0,2021
O,H2,ME-C,0.0,2021
O,H2,ME-GI,0.0,2021
O,H2,ME-LGI,0.0,2021
C,Oil,ME-C,1500.0,2022
C,Oil,ME-GI,1400.0,2022
C,Oil,ME-LGI,1300.0,2022
C,LNG,ME-C,0.0,2022
C,LNG,ME-GI,0.0,2022
C,LNG,ME-LGI,0.0,2022
C,LPG,ME-C,0.0,2022
C,LPG,ME-GI,0.0,2022
C,LPG,ME-LGI,0.0,2022
C,MeOH,ME-C,0.0,2022
C,MeOH,ME-GI,0.0,2022
C,MeOH,ME-LGI,0.0,2022
C,NH3,ME-C,0.0,2022
C,NH3,ME-GI,0.0,2022
C,NH3,ME-LGI,0.0,2022
C,RefPO,ME-C,1500.0,2022
C,RefPO,ME-GI,1400.0,2022
C,RefPO,ME-LGI,1300.0,2022
C,H2,ME-C,0.0,2022
C,H2,ME-GI,0.0,2022
C,H2,ME-LGI,0.0,2022
T,Oil,ME-C,1800.0,2022
T,Oil,ME-GI,1700.0,2022
T,Oil,ME-LGI,1600.0,2022
T,LNG,ME-C,0.0,2022
T,LNG,ME-GI,0.0,2022
T,LNG,ME-LGI,0.0,2022
T,LPG,ME-C,0.0,2022
T,LPG,ME-GI,0.0,2022
T,LPG,ME-LGI,0.0,2022
T,MeOH,ME-C,0.0,2022
T,MeOH,ME-GI,0.0,2022
T,MeOH,ME-LGI,0.0,2022
T,NH3,ME-C,0.0,2022
T,NH3,ME-GI,0.0,2022
T,NH3,ME-LGI,0.0,2022
T,RefPO,ME-C,1700.0,2022
T,RefPO,ME-GI,1600.0,2022
T,RefPO,ME-LGI,1500.0,2022
T,H2,ME-C,0.0,2022
T,H2,ME-GI,0.0,2022
T,H2,ME-LGI,0.0,2022
B,Oil,ME-C,2000.0,2022
B,Oil,ME-GI,1900.0,2022
B,Oil,ME-LGI,1800.0,2022
B,LNG,ME-C,0.0,2022
B,LNG,ME-GI,0.0,2022
B,LNG,ME-LGI,0.0,2022
B,LPG,ME-C,0.0,2022
B,LPG,ME-GI,0.0,2022
B,LPG,ME-LGI,0.0,2022
B,MeOH,ME-C,0.0,2022
B,MeOH,ME-GI,0.0,2022
B,MeOH,ME-LGI,0.0,2022
B,NH3,ME-C,0.0,2022
B,NH3,ME-GI,0.0,2022
B,NH3,ME-LGI,0.0,2022
B,RefPO,ME-C,1900.0,2022
B,RefPO,ME-GI,1800.0,2022
B,RefPO,ME-LGI,1700.0,2022
B,H2,ME-C,0.0,2022
B,H2,ME-GI,0.0,2022
B,H2,ME-LGI,0.0,2022
G,Oil,ME-C,1700.0,2022
G,Oil,ME-GI,1600.0,2022
G,Oil,ME-LGI,1500.0,2022
G,LNG,ME-C,0.0,2022
G,LNG,ME-GI,0.0,2022
G,LNG,ME-LGI,0.0,2022
G,LPG,ME-C,0.0,2022
G,LPG,ME-GI,0.0,2022
G,LPG,ME-LGI,0.0,2022
G,MeOH,ME-C,0.0,2022
G,MeOH,ME-GI,0.0,2022
G,MeOH,ME-LGI,0.0,2022
G,NH3,ME-C,0.0,2022
G,NH3,ME-GI,0.0,2022
G,NH3,ME-LGI,0.0,2022
G,RefPO,ME-C,1600.0,2022
G,RefPO,ME-GI,1500.0,2022
G,RefPO,ME-LGI,1400.0,2022
G,H2,ME-C,0.0,2022
G,H2,ME-GI,0.0,2022
G,H2,ME-LGI,0.0,2022
O,Oil,ME-C,1000.0,2022
O,Oil,ME-GI,900.0,2022
O,Oil,ME-LGI,800.0,2022
O,LNG,ME-C,0.0,2022
O,LNG,ME-GI,0.0,2022
O,LNG,ME-LGI,0.0,2022
O,LPG,ME-C,0.0,2022
O,LPG,ME-GI,0.0,2022
O,LPG,ME-LGI,0.0,2022
O,MeOH,ME-C,0.0,2022
O,MeOH,ME-GI,0.0,2022
O,MeOH,ME-LGI,0.0,2022
O,NH3,ME-C,0.0,2022
O,NH3,ME-GI,0.0,2022
O,NH3,ME-LGI,0.0,2022
O,RefPO,ME-C,1200.0,2022
O,RefPO,ME-GI,1100.0,2022
O,RefPO,ME-LGI,1000.0,2022
O,H2,ME-C,0.0,2022
O,H2,ME-GI,0.0,2022
O,H2,ME-LGI,0.0,2022
C,Oil,ME-C,1500.0,2023
C,Oil,ME-GI,1400.0,2023
C,Oil,ME-LGI,1300.0,2023
C,LNG,ME-C,0.0,2023
C,LNG,ME-GI,0.0,2023
C,LNG,ME-LGI,0.0,2023
C,LPG,ME-C,0.0,2023
C,LPG,ME-GI,0.0,2023
C,LPG,ME-LGI,0.0,2023
C,MeOH,ME-C,0.0,2023
C,MeOH,ME-GI,0.0,2023
C,MeOH,ME-LGI,0.0,2023
C,NH3,ME-C,0.0,2023
C,NH3,ME-GI,0.0,2023
C,NH3,ME-LGI,0.0,2023
C,RefPO,ME-C,1500.0,2023
C,RefPO,ME-GI,1400.0,2023
C,RefPO,ME-LGI,1300.0,2023
C,H2,ME-C,0.0,2023
C,H2,ME-GI,0.0,2023
C,H2,ME-LGI,0.0,2023
T,Oil,ME-C,1800.0,2023
T,Oil,ME-GI,1700.0,2023
T,Oil,ME-LGI,1600.0,2023
T,LNG,ME-C,0.0,2023
T,LNG,ME-GI,0.0,2023
T,LNG,ME-LGI,0.0,2023
T,LPG,ME-C,0.0,2023
T,LPG,ME-GI,0.0,2023
T,LPG,ME-LGI,0.0,2023
T,MeOH,ME-C,0.0,2023
T,MeOH,ME-GI,0.0,2023
T,MeOH,ME-LGI,0.0,2023
T,NH3,ME-C,0.0,2023
T,NH3,ME-GI,0.0,2023
T,NH3,ME-LGI,0.0,2023
T,RefPO,ME-C,1700.0,2023
T,RefPO,ME-GI,1600.0,2023
T,RefPO,ME-LGI,1500.0,2023
T,H2,ME-C,0.0,2023
T,H2,ME-GI,0.0,2023
T,H2,ME-LGI,0.0,2023
B,Oil,ME-C,2000.0,2023
B,Oil,ME-GI,1900.0,2023
B,Oil,ME-LGI,1800.0,2023
B,LNG,ME-C,0.0,2023
B,LNG,ME-GI,0.0,2023
B,LNG,ME-LGI,0.0,2023
B,LPG,ME-C,0.0,2023
B,LPG,ME-GI,0.0,2023
B,LPG,ME-LGI,0.0,2023
B,MeOH,ME-C,0.0,2023
B,MeOH,ME-GI,0.0,2023
B,MeOH,ME-LGI,0.0,2023
B,NH3,ME-C,0.0,2023
B,NH3,ME-GI,0.0,2023
B,NH3,ME-LGI,0.0,2023
B,RefPO,ME-C,1900.0,2023
B,RefPO,ME-GI,1800.0,2023
B,RefPO,ME-LGI,1700.0,2023
B,H2,ME-C,0.0,2023
B,H2,ME-GI,0.0,2023
B,H2,ME-LGI,0.0,2023
G,Oil,ME-C,1700.0,2023
G,Oil,ME-GI,1600.0,2023
G,Oil,ME-LGI,1500.0,2023
G,LNG,ME-C,0.0,2023
G,LNG,ME-GI,0.0,2023
G,LNG,ME-LGI,0.0,2023
G,LPG,ME-C,0.0,2023
G,LPG,ME-GI,0.0,2023
G,LPG,ME-LGI,0.0,2023
G,MeOH,ME-C,0.0,2023
G,MeOH,ME-GI,0.0,2023
G,MeOH,ME-LGI,0.0,2023
G,NH3,ME-C,0.0,2023
G,NH3,ME-GI,0.0,2023
G,NH3,ME-LGI,0.0,2023
G,RefPO,ME-C,1600.0,2023
G,RefPO,ME-GI,1500.0,2023
G,RefPO,ME-LGI,1400.0,2023
G,H2,ME-C,0.0,2023
G,H2,ME-GI,0.0,2023
G,H2,ME-LGI,0.0,2023
O,Oil,ME-C,1000.0,2023
O,Oil,ME-GI,900.0,2023
O,Oil,ME-LGI,800.0,2023
O,LNG,ME-C,0.0,2023
O,LNG,ME-GI,0.0,2023
O,LNG,ME-LGI,0.0,2023
O,LPG,ME-C,0.0,2023
O,LPG,ME-GI,0.0,2023
O,LPG,ME-LGI,0.0,2023
O,MeOH,ME-C,0.0,2023
O,MeOH,ME-GI,0.0,2023
O,MeOH,ME-LGI,0.0,2023
O,NH3,ME-C,0.0,2023
O,NH3,ME-GI,0.0,2023
O,NH3,ME-LGI,0.0,2023
O,RefPO,ME-C,1200.0,2023
O,RefPO,ME-GI,1100.0,2023
O,RefPO,ME-LGI,1000.0,2023
O,H2,ME-C,0.0,2023
O,H2,ME-GI,0.0,2023
O,H2,ME-LGI,0.0,2023
C,Oil,ME-C,1500.0,2024
C,Oil,ME-GI,1400.0,2024
C,Oil,ME-LGI,1300.0,2024
C,LNG,ME-C,0.0,2024
C,LNG,ME-GI,0.0,2024
C,LNG,ME-LGI,0.0,2024
C,LPG,ME-C,0.0,2024
C,LPG,ME-GI,0.0,2024
C,LPG,ME-LGI,0.0,2024
C,MeOH,ME-C,0.0,2024
C,MeOH,ME-GI,0.0,2024
C,MeOH,ME-LGI,0.0,2024
C,NH3,ME-C,0.0,2024
C,NH3,ME-GI,0.0,2024
C,NH3,ME-LGI,0.0,2024
C,RefPO,ME-C,1500.0,2024
C,RefPO,ME-GI,1400.0,2024
C,RefPO,ME-LGI,1300.0,2024
C,H2,ME-C,0.0,2024
C,H2,ME-GI,0.0,2024
C,H2,ME-LGI,0.0,2024
T,Oil,ME-C,1800.0,2024
T,Oil,ME-GI,1700.0,2024
T,Oil,ME-LGI,1600.0,2024
T,LNG,ME-C,0.0,2024
T,LNG,ME-GI,0.0,2024
T,LNG,ME-LGI,0.0,2024
T,LPG,ME-C,0.0,2024
T,LPG,ME-GI,0.0,2024
T,LPG,ME-LGI,0.0,2024
T,MeOH,ME-C,0.0,2024
T,MeOH,ME-GI,0.0,2024
T,MeOH,ME-LGI,0.0,2024
T,NH3,ME-C,0.0,2024
T,NH3,ME-GI,0.0,2024
T,NH3,ME-LGI,0.0,2024
T,RefPO,ME-C,1700.0,2024
T,RefPO,ME-GI,1600.0,2024
T,RefPO,ME-LGI,1500.0,2024
T,H2,ME-C,0.0,2024
T,H2,ME-GI,0.0,2024
T,H2,ME-LGI,0.0,2024
B,Oil,ME-C,2000.0,2024
B,Oil,ME-GI,1900.0,2024
B,Oil,ME-LGI,1800.0,2024
B,LNG,ME-C,0.0,2024
B,LNG,ME-GI,0.0,2024
B,LNG,ME-LGI,0.0,2024
B,LPG,ME-C,0.0,2024
B,LPG,ME-GI,0.0,2024
B,LPG,ME-LGI,0.0,2024
B,MeOH,ME-C,0.0,2024
B,MeOH,ME-GI,0.0,2024
B,MeOH,ME-LGI,0.0,2024
B,NH3,ME-C,0.0,2024
B,NH3,ME-GI,0.0,2024
B,NH3,ME-LGI,0.0,2024
B,RefPO,ME-C,1900.0,2024
B,RefPO,ME-GI,1800.0,2024
B,RefPO,ME-LGI,1700.0,2024
B,H2,ME-C,0.0,2024
B,H2,ME-GI,0.0,2024
B,H2,ME-LGI,0.0,2024
G,Oil,ME-C,1700.0,2024
G,Oil,ME-GI,1600.0,2024
G,Oil,ME-LGI,1500.0,2024
G,LNG,ME-C,0.0,2024
G,LNG,ME-GI,0.0,2024
G,LNG,ME-LGI,0.0,2024
G,LPG,ME-C,0.0,2024
G,LPG,ME-GI,0.0,2024
G,LPG,ME-LGI,0.0,2024
G,MeOH,ME-C,0.0,2024
G,MeOH,ME-GI,0.0,2024
G,MeOH,ME-LGI,0.0,2024
G,NH3,ME-C,0.0,2024
G,NH3,ME-GI,0.0,2024
G,NH3,ME-LGI,0.0,2024
G,RefPO,ME-C,1600.0,2024
G,RefPO,ME-GI,1500.0,2024
G,RefPO,ME-LGI,1400.0,2024
G,H2,ME-C,0.0,2024
G,H2,ME-GI,0.0,2024
G,H2,ME-LGI,0.0,2024
O,Oil,ME-C,1000.0,2024
O,Oil,ME-GI,900.0,2024
O,Oil,ME-LGI,800.0,2024
O,LNG,ME-C,0.0,2024
O,LNG,ME-GI,0.0,2024
O,LNG,ME-LGI,0.0,2024
O,LPG,ME-C,0.0,2024
O,LPG,ME-GI,0.0,2024
O,LPG,ME-LGI,0.0,2024
O,MeOH,ME-C,0.0,2024
O,MeOH,ME-GI,0.0,2024
O,MeOH,ME-LGI,0.0,2024
O,NH3,ME-C,0.0,2024
O,NH3,ME-GI,0.0,2024
O,NH3,ME-LGI,0.0,2024
O,RefPO,ME-C,1200.0,2024
O,RefPO,ME-GI,1100.0,2024
O,RefPO,ME-LGI,1000.0,2024
O,H2,ME-C,0.0,2024
O,H2,ME-GI,0.0,2024
O,H2,ME-LGI,0.0,2024
C,Oil,ME-C,1350.0,2025
C,Oil,ME-GI,1260.0,2025
C,Oil,ME-LGI,1170.0,2025
C,LNG,ME-C,100.0,2025
C,LNG,ME-GI,90.0,2025
C,LNG,ME-LGI,80.0,2025
C,LPG,ME-C,130.0,2025
C,LPG,ME-GI,120.0,2025
C,LPG,ME-LGI,110.0,2025
C,MeOH,ME-C,0.0,2025
C,MeOH,ME-GI,0.0,2025
C,MeOH,ME-LGI,0.0,2025
C,NH3,ME-C,0.0,2025
C,NH3,ME-GI,0.0,2025
C,NH3,ME-LGI,0.0,2025
C,RefPO,ME-C,1350.0,2025
C,RefPO,ME-GI,1260.0,2025
C,RefPO,ME-LGI,1170.0,2025
C,H2,ME-C,0.0,2025
C,H2,ME-GI,0.0,2025
C,H2,ME-LGI,0.0,2025
T,Oil,ME-C,1620.0,2025
T,Oil,ME-GI,1530.0,2025
T,Oil,ME-LGI,1440.0,2025
T,LNG,ME-C,140.0,2025
T,LNG,ME-GI,130.0,2025
T,LNG,ME-LGI,120.0,2025
T,LPG,ME-C,150.0,2025
T,LPG,ME-GI,140.0,2025
T,LPG,ME-LGI,130.0,2025
T,MeOH,ME-C,0.0,2025
T,MeOH,ME-GI,0.0,2025
T,MeOH,ME-LGI,0.0,2025
T,NH3,ME-C,0.0,2025
T,NH3,ME-GI,0.0,2025
T,NH3,ME-LGI,0.0,2025
T,RefPO,ME-C,1530.0,2025
T,RefPO,ME-GI,1440.0,2025
T,RefPO,ME-LGI,1350.0,2025
T,H2,ME-C,0.0,2025
T,H2,ME-GI,0.0,2025
T,H2,ME-LGI,0.0,2025
B,Oil,ME-C,1800.0,2025
B,Oil,ME-GI,1710.0,2025
B,Oil,ME-LGI,1620.0,2025
B,LNG,ME-C,170.0,2025
B,LNG,ME-GI,160.0,2025
B,LNG,ME-LGI,150.0,2025
B,LPG,ME-C,170.0,2025
B,LPG,ME-GI,160.0,2025
B,LPG,ME-LGI,150.0,2025
B,MeOH,ME-C,0.0,2025
B,MeOH,ME-GI,0.0,2025
B,MeOH,ME-LGI,0.0,2025
B,NH3,ME-C,0.0,2025
B,NH3,ME-GI,0.0,2025
B,NH3,ME-LGI,0.0,2025
B,RefPO,ME-C,1710.0,2025
B,RefPO,ME-GI,1620.0,2025
B,RefPO,ME-LGI,1530.0,2025
B,H2,ME-C,0.0,2025
B,H2,ME-GI,0.0,2025
B,H2,ME-LGI,0.0,2025
G,Oil,ME-C,1530.0,2025
G,Oil,ME-GI,1440.0,2025
G,Oil,ME-LGI,1350.0,2025
G,LNG,ME-C,117.0,2025
G,LNG,ME-GI,108.0,2025
G,LNG,ME-LGI,99.0,2025
G,LPG,ME-C,140.0,2025
G,LPG,ME-GI,130.0,2025
G,LPG,ME-LGI,120.0,2025
G,MeOH,ME-C,0.0,2025
G,MeOH,ME-GI,0.0,2025
G,MeOH,ME-LGI,0.0,2025
G,NH3,ME-C,0.0,2025
G,NH3,ME-GI,0.0,2025
G,NH3,ME-LGI,0.0,2025
G,RefPO,ME-C,1440.0,2025
G,RefPO,ME-GI,1350.0,2025
G,RefPO,ME-LGI,1260.0,2025
G,H2,ME-C,0.0,2025
G,H2,ME-GI,0.0,2025
G,H2,ME-LGI,0.0,2025
O,Oil,ME-C,900.0,2025
O,Oil,ME-GI,810.0,2025
O,Oil,ME-LGI,720.0,2025
O,LNG,ME-C,80.0,2025
O,LNG,ME-GI,70.0,2025
O,LNG,ME-LGI,60.0,2025
O,LPG,ME-C,90.0,2025
O,LPG,ME-GI,80.0,2025
O,LPG,ME-LGI,70.0,2025
O,MeOH,ME-C,0.0,2025
O,MeOH,ME-GI,0.0,2025
O,MeOH,ME-LGI,0.0,2025
O,NH3,ME-C,0.0,2025
O,NH3,ME-GI,0.0,2025
O,NH3,ME-LGI,0.0,2025
O,RefPO,ME-C,1080.0,2025
O,RefPO,ME-GI,990.0,2025
O,RefPO,ME-LGI,900.0,2025
O,H2,ME-C,0.0,2025
O,H2,ME-GI,0.0,2025
O,H2,ME-LGI,0.0,2025
C,Oil,ME-C,1350.0,2026
C,Oil,ME-GI,1260.0,2026
C,Oil,ME-LGI,1170.0,2026
C,LNG,ME-C,100.0,2026
C,LNG,ME-GI,90.0,2026
C,LNG,ME-LGI,80.0,2026
C,LPG,ME-C,130.0,2026
C,LPG,ME-GI,120.0,2026
C,LPG,ME-LGI,110.0,2026
C,MeOH,ME-C,0.0,2026
C,MeOH,ME-GI,0.0,2026
C,MeOH,ME-LGI,0.0,2026
C,NH3,ME-C,0.0,2026
C,NH3,ME-GI,0.0,2026
C,NH3,ME-LGI,0.0,2026
C,RefPO,ME-C,1350.0,2026
C,RefPO,ME-GI,1260.0,2026
C,RefPO,ME-LGI,1170.0,2026
C,H2,ME-C,0.0,2026
C,H2,ME-GI,0.0,2026
C,H2,ME-LGI,0.0,2026
T,Oil,ME-C,1620.0,2026
T,Oil,ME-GI,1530.0,2026
T,Oil,ME-LGI,1440.0,2026
T,LNG,ME-C,140.0,2026
T,LNG,ME-GI,130.0,2026
T,LNG,ME-LGI,120.0,2026
T,LPG,ME-C,150.0,2026
T,LPG,ME-GI,140.0,2026
T,LPG,ME-LGI,130.0,2026
T,MeOH,ME-C,0.0,2026
T,MeOH,ME-GI,0.0,2026
T,MeOH,ME-LGI,0.0,2026
T,NH3,ME-C,0.0,2026
T,NH3,ME-GI,0.0,2026
T,NH3,ME-LGI,0.0,2026
T,RefPO,ME-C,1530.0,2026
T,RefPO,ME-GI,1440.0,2026
T,RefPO,ME-LGI,1350.0,2026
T,H2,ME-C,0.0,2026
T,H2,ME-GI,0.0,2026
T,H2,ME-LGI,0.0,2026
B,Oil,ME-C,1800.0,2026
B,Oil,ME-GI,1710.0,2026
B,Oil,ME-LGI,1620.0,2026
B,LNG,ME-C,170.0,2026
B,LNG,ME-GI,160.0,2026
B,LNG,ME-LGI,150.0,2026
B,LPG,ME-C,170.0,2026
B,LPG,ME-GI,160.0,2026
B,LPG,ME-LGI,150.0,2026
B,MeOH,ME-C,0.0,2026
B,MeOH,ME-GI,0.0,2026
B,MeOH,ME-LGI,0.0,2026
B,NH3,ME-C,0.0,2026
B,NH3,ME-GI,0.0,2026
B,NH3,ME-LGI,0.0,2026
B,RefPO,ME-C,1710.0,2026
B,RefPO,ME-GI,1620.0,2026
B,RefPO,ME-LGI,1530.0,2026
B,H2,ME-C,0.0,2026
B,H2,ME-GI,0.0,2026
B,H2,ME-LGI,0.0,2026
G,Oil,ME-C,1530.0,2026
G,Oil,ME-GI,1440.0,2026
G,Oil,ME-LGI,1350.0,2026
G,LNG,ME-C,117.0,2026
G,LNG,ME-GI,108.0,2026
G,LNG,ME-LGI,99.0,2026
G,LPG,ME-C,140.0,2026
G,LPG,ME-GI,130.0,2026
G,LPG,ME-LGI,120.0,2026
G,MeOH,ME-C,0.0,2026
G,MeOH,ME-GI,0.0,2026
G,MeOH,ME-LGI,0.0,2026
G,NH3,ME-C,0.0,2026
G,NH3,ME-GI,0.0,2026
G,NH3,ME-LGI,0.0,2026
G,RefPO,ME-C,1440.0,2026
G,RefPO,ME-GI,1350.0,2026
G,RefPO,ME-LGI,1260.0,2026
G,H2,ME-C,0.0,2026
G,H2,ME-GI,0.0,2026
G,H2,ME-LGI,0.0,2026
O,Oil,ME-C,900.0,2026
O,Oil,ME-GI,810.0,2026
O,Oil,ME-LGI,720.0,2026
O,LNG,ME-C,80.0,2026
O,LNG,ME-GI,70.0,2026
